NAME                 REFERENCE                       TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%   1         20        1          150m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 4%/70%   1         20        1          150m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 76%/70%   1         20        1          151m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 200%/70%   1         20        1          151m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 197%/70%   1         20        3          151m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 130%/70%   1         20        3          151m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 62%/70%    1         20        6          152m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 67%/70%    1         20        6          152m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 49%/70%    1         20        6          152m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 22%/70%    1         20        6          152m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 15%/70%    1         20        6          153m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 11%/70%    1         20        6          153m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 9%/70%     1         20        6          153m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 10%/70%    1         20        6          153m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 12%/70%    1         20        6          154m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 11%/70%    1         20        6          154m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 9%/70%     1         20        6          154m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 11%/70%    1         20        6          155m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 4%/70%     1         20        6          156m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%     1         20        6          156m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 3%/70%     1         20        6          156m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 6%/70%     1         20        6          156m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 6%/70%     1         20        6          157m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%     1         20        6          157m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%     1         20        5          157m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 3%/70%     1         20        2          157m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 6%/70%     1         20        2          158m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 3%/70%     1         20        2          158m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 5%/70%     1         20        2          158m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 4%/70%     1         20        2          158m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%     1         20        2          159m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 4%/70%     1         20        1          159m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%     1         20        1          159m

